sõna	liik	kokku	aja	ilu
sõstar	S	6	5	1
sõtkuma	V	5	1	4
sõudma	V	15	4	11
säde	S	13	3	10
sädelev	A	8	2	6
sähvatama	V	12	1	11
säilima	V	64	43	21
säilitama	V	100	74	26
säilitamine	S	29	27	2
säng	S	15	1	14
sängitama	V	5	2	3
sära	S	24	9	15
särama	V	51	10	41
särav	A	35	8	27
särk	S	48	13	35
sätendama	V	10	2	8
sättima	V	42	13	29
säär	S	39	7	32
säärane	P	118	44	74
sääsk	S	16	6	10
sääst	S	13	8	5
säästma	V	24	13	11
söandama	V	37	9	28
sööbima	V	8	1	7
söödu	S	6	4	2
söögiisu	S	5	3	2
söögilaud	S	15	1	14
söögimaja	S	5	4	1
söögiraha	S	7	4	3
söök	S	43	15	28
sööma	V	298	82	216
söömine	S	20	6	14
sööst	S/S	7	2	5
sööstma	V	26	1	25
söötma	V	27	15	12
süda	S	274	61	213
südalinn	S	15	6	9
südameatakk	S	5	4	1
südamelöök	S	6	2	4
südametunnistus	S	24	8	16
südamlik	A	16	6	10
südaöö	S	19	6	13
sügama	V	14	3	11
sügav	A	85	25	60
sügaval	D	15	2	13
sügavale	D	17	4	13
sügavalt	D	45	7	38
sügavam	A	31	8	23
sügavik	S	12	1	11
sügavune	A	6	4	2
sügavus	S	32	8	24
sügelema	V	5	4	1
sügis	S	171	115	56
sügisene	A	29	20	9
sügisõhtu	S	5	1	4
sülg	S	9	1	8
süli	S	67	2	65
sülitama	V	38	6	32
sümbol	S	32	23	9
sümboolne	A	10	7	3
sümfoonia	S	11	10	1
sümfooniaorkester	S	13	12	1
sümfooniline	A	6	5	1
sümpaatia	S	9	5	4
sümpaatne	A	30	16	14
sümpaatselt	D	6	4	2
sümptom	S	5	4	1
sünd	S	42	19	23
sündima	V	240	121	119
sündimata	D	16	2	14
sündimine	S	6	1	5
sündinu	S	56	41	15
sündiv	A	6	1	5
sündmus	S	133	73	60
sündmuskoht	S	16	13	3
sündsusetu	A	5	1	4
sünge	A	27	3	24
süngelt	D	11	1	10
sünnimaa	S	6	1	5
sünnipäev	S	65	41	24
sünnipäevalaps	S	7	6	1
sünnis	A	5	3	2
sünnitaja	S	19	1	18
sünnitama	V	56	15	41
sünnitamine	S	5	4	1
sünnitus	S	15	5	10
sürrealism	S	7	5	2
süsi	S	19	6	13
süsimust	A/S	9	2	7
süst	S/S	16	4	12
süsteem	S	140	107	33
süsteemne	A	5	4	1
süstematiseerima	V	5	3	2
süstima	V	7	3	4
süttima	V	42	10	32
süvendama	V	18	12	6
süvenema	V	37	11	26
süvenev	A	5	2	3
süü	S	81	39	42
süüdi	D	75	33	42
süüdimatu	A	8	7	1
süüdistaja	S	11	8	3
süüdistama	V	115	91	24
süüdistatav	A/S	10	8	2
süüdistus	S	89	79	10
süüdlane	S	25	11	14
süümepiin	S	6	1	5
süütama	V	46	17	29
süütamine	S	5	4	1
süütu	A	35	8	27
süütunne	S	16	9	7
süütus	S	16	3	13
süüvima	V	7	4	3
šaht	S	5	1	4
šampanja	S	7	4	3
šanss	S	5	2	3
šokolaad	S	8	2	6
žürii	S	10	9	1
taanduma	V	32	12	20
taani	A	6	4	2
taanlane	S	11	10	1
taas	D	315	180	135
taassünd	S	5	4	1
taastama	V	50	43	7
taastamine	S	29	25	4
taastuma	V	15	13	2
taastumine	S	10	9	1
tabama	V	172	82	90
tabamine	S	9	8	1
tabamus	S	6	4	2
tabav	A	11	6	5
tabavalt	D	6	2	4
tabel	S	30	28	2
tablett	S	26	14	12
tabloo	S	7	6	1
tabu	S	5	1	4
taevakeha	S	7	4	3
taevane	A	14	2	12
taevas	S	225	44	181
taga	D	499	130	369
tagaajamine	S	9	6	3
tagahoov	S	9	5	4
tagaiste	S	15	7	8
tagajärg	S	95	70	25
tagakülg	S	8	4	4
tagala	S	5	1	4
tagama	V	102	94	8
tagamaa	S	6	4	2
tagamine	S	28	26	2
taganema	V	35	9	26
taganemine	S	7	4	3
tagant	D	153	36	117
tagantjärele	D	36	14	22
tagaotsitav	A/S	17	16	1
tagaplaan	S	6	3	3
tagapõhi	S	7	4	3
tagaratas	S	7	3	4
tagaselja	D	7	3	4
tagasi	D	1249	516	733
tagasiastumine	S	21	20	1
tagasihoidlik	A	44	18	26
tagasihoidlikult	D	5	2	3
tagasihoidlikum	A	5	4	1
tagasilöök	S	9	8	1
tagasiminek	S	6	2	4
tagasiside	S	5	4	1
tagasitee	S	16	4	12
tagasitulek	S	8	4	4
tagastama	V	35	34	1
tagastamine	S	21	20	1
tagatis	S	13	11	2
tagatuba	S	15	1	14
tagauks	S	6	1	5
taguma	V	43	6	37
tagumik	S	17	3	14
tagumine	A/S	20	8	12
tagune	S	27	21	6
tagurpidi	D	12	3	9
taha	D	232	60	172
tahapoole	D	8	3	5
tahe	A/S	65	39	26
tahes	D	68	23	45
tahes-tahtmata	D	18	6	12
tahk	S	7	4	3
tahmuma	V	6	1	5
tahtejõud	S	5	2	3
tahtev	A	9	2	7
tahtlik	A	11	10	1
tahtlikult	D	7	4	3
tahtma	V	1807	583	1224
tahtmatult	D	19	3	16
tahtmine	S	80	23	57
tahuma	V	9	3	6
tahumatu	A	6	2	4
tahvel	S	16	1	15
taigen	S	16	15	1
taim	S	80	54	26
taip	S	5	3	2
taipama	V	137	7	130
tajuma	V	77	11	66
takerduma	V	24	10	14
takerdumine	S	5	3	2
takistama	V	74	45	29
takistamatult	D	5	2	3
takistus	S	44	36	8
takka	D	6	1	5
takso	S	52	36	16
taksojuht	S	52	24	28
taksopeatus	S	14	7	7
takt	S	16	4	12
taktika	S	20	18	2
taktikaline	A	8	7	1
taktitunne	S	7	5	2
tald	S	13	2	11
taldrik	S	48	7	41
talent	S	10	7	3
talitama	V	21	8	13
talitus	S	9	6	3
tall	S/S	25	3	22
tallama	V	26	3	23
talletama	V	11	2	9
tallinlane	S	18	17	1
talong	S	11	5	6
talu	S	181	91	90
taluhoone	S	5	3	2
taluma	V	54	12	42
talumaja	S	6	3	3
talumatult	D	5	2	3
talumees	S	29	12	17
talunik	S	27	26	1
taluperemees	S	5	3	2
talupidaja	S	20	18	2
talupidamine	S	7	6	1
talupoeg	S	13	4	9
talutama	V	5	2	3
talutav	A	7	2	5
taluõu	S	6	3	3
talv	S	159	90	69
talveaed	S	10	9	1
talvine	A	18	11	7
tamm	S/S	23	8	15
tammine	A	10	5	5
tammuma	V	15	4	11
tampima	V	6	1	5
tang	S/S	5	3	2
tank	S/S	17	10	7
tanker	S	6	5	1
tants	S	39	18	21
tantsija	S	13	8	5
tantsima	V	63	12	51
tantsupõrand	S	5	4	1
taoline	A/P	49	27	22
taotlema	V	64	59	5
taotlus	S	64	62	2
tapetu	S	7	5	2
tapja	S	15	8	7
tapma	V	129	48	81
tapmine	S	59	44	15
tara	S	10	3	7
tarbetu	A	17	6	11
tarbima	V	15	13	2
tarduma	V	21	3	18
tare	S	15	1	14
targem	A	51	13	38
targu	D	10	2	8
targutama	V	6	2	4
tark	A/S	67	20	47
tarkus	S	43	19	24
tarm	S	6	2	4
tartlane	S	53	49	4
taru	S	12	11	1
tarve	S	29	20	9
tarvilik	A	8	7	1
tarvis	D	150	54	96
tarvitama	V	21	9	12
tarvitamine	S	5	4	1
tarvitsema	V	17	3	14
tarvitus	S	7	3	4
tasa	D	43	7	36
tasakaal	S	57	33	24
tasakaalukas	A	6	2	4
tasakaalustama	V	14	10	4
tasand	S	44	36	8
tasane	A	37	3	34
tasapisi	D	30	11	19
tase	S	173	159	14
tasku	S	134	37	97
taskulamp	S	11	1	10
taskuraha	S	6	2	4
taskuvaras	S	5	4	1
tass	S	48	4	44
tassima	V	44	3	41
tasu	S	123	102	21
tasuline	A	22	20	2
tasuma	V	176	142	34
tatari	A	13	7	6
tatarlane	S	21	18	3
tatsama	V	11	2	9
taunitav	A	5	4	1
taust	S	82	57	25
tava	S	46	32	14
tavainimene	S	5	4	1
tavakodanik	S	8	6	2
tavaline	A	195	92	103
tavaliselt	D	143	77	66
tavalisem	A	10	2	8
tavapärane	A	29	21	8
tavapäraselt	D	7	5	2
tavatsema	V	11	3	8
tavatu	A	10	6	4
tavatult	D	7	5	2
teadaanne	S	10	6	4
teadagi	D	27	12	15
teadaolev	A	14	10	4
teadaolevalt	D	5	4	1
teade	S	186	126	60
teadev	A	5	4	1
teadja	A/S	6	3	3
teadlane	S	63	49	14
teadlik	A	33	23	10
teadlikult	D	22	17	5
teadma	V	2301	632	1669
teadmata	D	16	8	8
teadmatus	S	20	9	11
teadmine	S	136	67	69
teadur	S	14	10	4
teadus	S	61	37	24
teaduskond	S	13	10	3
teaduslik	A	29	18	11
teadustama	V	6	1	5
teadvus	S	49	13	36
teadvustama	V	26	20	6
teatama	V	362	273	89
teatav	A	67	32	35
teatavasti	D	33	25	8
teater	S	180	119	61
teatraalne	A	10	6	4
teatraalsus	S	5	3	2
teatrimaja	S	6	3	3
teave	S	38	33	5
tee	S/S	871	369	502
teejoomine	S	5	1	4
teekond	S	46	16	30
teel	D	34	25	9
teeline	S	5	1	4
teema	S	136	106	30
teene	S	31	17	14
teeneline	A	5	3	2
teener	S	10	2	8
teenija	S	20	3	17
teenima	V	188	120	68
teenimatult	D	7	6	1
teenimine	S	7	5	2
teenindama	V	23	19	4
teenindav	A	5	3	2
teenistuja	S	5	4	1
teenistus	S	54	31	23
teeniv	A	8	6	2
teenus	S	58	50	8
teeperv	S	5	3	2
teerada	S	18	1	17
teerist	S	5	1	4
teeserv	S	6	2	4
tegelane	S	67	50	17
tegelema	V	173	125	48
tegelev	A	27	26	1
tegelik	A	86	61	25
tegelikkus	S	65	37	28
tegelikult	D	399	192	207
tegema	V	3483	1675	1808
tegemata	D	8	6	2
tegemine	S	363	252	111
tegev	A	16	12	4
tegevus	S	279	218	61
tegevusala	S	6	5	1
tegevusetus	S	8	5	3
tegevuskava	S	10	9	1
tegija	S	52	42	10
tegu	S	228	127	101
tegur	S	17	16	1
tegutsema	V	151	127	24
tegutsemine	S	38	32	6
tegutsev	A	37	35	2
teguviis	S	7	2	5
tehas	S	68	46	22
tehing	S	93	91	2
tehnika	S	45	32	13
tehniline	A	71	60	11
tehniliselt	D	10	8	2
tehnoloogia	S	23	21	2
tehnoloogiline	A	13	10	3
tehtu	S	80	49	31
teietama	V	8	1	7
teine	N/P	2647	1234	1413
teinekord	D	42	8	34
teineteise	P	126	23	103
teisal	D	6	2	4
teisalt	D	36	26	10
teisejärguline	A	10	7	3
teiseks	D	86	57	29
teisenema	V	10	5	5
teisik	S	6	3	3
teisipäev	S	98	96	2
teisisõnu	D	13	7	6
teisiti	D	110	42	68
teismeline	A/S	6	4	2
teistmoodi	D	22	8	14
teistpidi	D	12	7	5
teistsugune	P	76	23	53
teke	S	26	23	3
tekitama	V	207	156	51
tekitamine	S	20	19	1
tekitav	A	8	5	3
tekk	S	88	13	75
tekkima	V	458	305	153
tekkimine	S	18	16	2
tekkiv	A	11	10	1
teksad	S	7	6	1
tekst	S	97	53	44
tele	S	5	4	1
telefon	S	202	113	89
telefonikõne	S	24	17	7
telefoninumber	S	17	5	12
telefoniraamat	S	5	1	4
telefonitoru	S	24	6	18
telefonitsi	D	9	7	2
telegramm	S	10	2	8
telejaam	S	8	7	1
telekas	S	14	8	6
teler	S	36	27	9
televaataja	S	10	9	1
televiisor	S	41	18	23
telg	S	21	9	12
telk	S	36	10	26
tellija	S	16	15	1
tellima	V	110	69	41
tellimine	S	16	13	3
tellimus	S	35	34	1
tellis	S	6	2	4
telliskivi	S	15	8	7
tema	P	21850	5266	16584
temasugune	P	11	1	10
temataoline	P	5	2	3
tembeldama	V	5	2	3
temp	S	13	4	9
tempel	S/S	12	6	6
temperament	S	6	3	3
temperatuur	S	23	19	4
tempo	S	26	20	6
tendents	S	14	9	5
tennis	S	5	4	1
tenor	S	19	18	1
teoksil	D	8	7	1
teooria	S	22	10	12
teoreetiline	A	13	9	4
teoreetiliselt	D	5	3	2
teos	S	118	80	38
teostama	V	43	28	15
teostamine	S	15	13	2
teps	D	7	2	5
tera	S	28	18	10
terane	A	8	2	6
teras	S	7	4	3
teraselt	D	11	3	8
terav	A	96	39	57
teravalt	D	23	9	14
teravam	A	12	5	7
teravamalt	D	5	3	2
teravmeelne	A	5	2	3
teravus	S	14	6	8
tere	D	84	22	62
teretama	V	11	1	10
teretulnud	A	8	4	4
teritama	V	6	1	5
termin	S	14	11	3
terminoloogia	S	5	4	1
terrass	S	9	6	3
territoorium	S	57	47	10
terror	S	6	4	2
terve	A/S	381	145	236
tervelt	D	20	15	5
tervenema	V	5	3	2
tervik	S	61	50	11
terviklik	A	9	8	1
terviklikkus	S	7	5	2
tervis	S	121	74	47
tervislik	A	24	18	6
tervitama	V	56	20	36
tervitus	S	16	6	10
testament	S	22	7	15
tibu	S	5	2	3
tige	A	21	6	15
tigu	S	10	3	7
tihane	S	8	3	5
tihe	A	71	36	35
tihedalt	D	36	18	18
tihedam	A	11	4	7
tihedamini	D	10	3	7
tihenema	V	8	4	4
tihenev	A	5	1	4
tihkuma	V	6	1	5
tihti	D	115	63	52
tihtipeale	D	16	11	5
tiib	S	61	19	42
tiibhoone	S	11	2	9
tiiger	S	11	3	8
tiik	S	27	7	20
tiir	S	9	3	6
tiirlema	V	11	5	6
tiirutama	V	16	4	12
tiitel	S	34	26	8
tikk	S	28	4	24
tikkuma	V	14	1	13
tiksuma	V	8	2	6
tikutoos	S	5	4	1
tilk	S	25	8	17
tilkuma	V	19	5	14
till	S/S	7	1	6
tilluke	A	39	1	38
timukas	S	6	2	4
tina	S	10	5	5
tingima	V	56	39	17
tingimata	D	35	14	21
tingimus	S	147	121	26
tinglik	A	11	9	2
tint	S	7	2	5
tipp	S	61	38	23
tippima	V	6	2	4
tippjuht	S	20	19	1
tirima	V	50	8	42
tiss	S	16	2	14
tita	S	6	1	5
titt	S	10	1	9
toanurk	S	5	1	4
tobe	A	15	4	11
toel	D	19	15	4
toetaja	S	23	20	3
toetajaskond	S	11	10	1
toetama	V	255	192	63
toetamine	S	20	19	1
toetav	A	15	13	2
toetuma	V	68	33	35
toetus	S	189	184	5
tohter	S	21	12	9
tohtima	V	382	196	186
tohutu	A/D	61	24	37
tohutult	D	10	8	2
toibuma	V	20	6	14
toiduaine	S	26	23	3
toidulaud	S	5	2	3
toidupood	S	7	6	1
toiduraha	S	6	5	1
toiduõli	S	7	6	1
toime	S	141	86	55
toimekas	A	7	2	5
toimetaja	S	49	31	18
toimetama	V	67	20	47
toimetamine	S	12	5	7
toimetulek	S	7	5	2
toimetus	S	61	40	21
toimik	S	24	18	6
toimima	V	52	38	14
toimimine	S	6	5	1
toiming	S	27	16	11
toimiv	A	18	17	1
toimuma	V	406	290	116
toimumine	S	11	10	1
toimunu	S	32	22	10
toimuv	A	78	62	16
toit	S	122	65	57
toitma	V	44	16	28
toituma	V	5	4	1
toitumine	S	6	5	1
tolerantsus	S	8	6	2
tolknema	V	5	1	4
toll	S/S	57	42	15
tollal	D	76	36	40
tollane	A	47	37	10
tolleaegne	A	13	8	5
tolliametnik	S	12	6	6
tollima	V	5	4	1
tolm	S	46	13	33
tolmune	A	16	1	15
tomat	S	26	20	6
tonn	S	69	60	9
tont	S	27	15	12
too	P	496	81	415
toodang	S	64	55	9
toode	S	56	53	3
tookord	D	78	10	68
tool	S	111	36	75
tooma	V	834	446	388
toomingas	S	19	12	7
toomkirik	S	23	21	2
toon	S	97	21	76
toona	D	21	13	8
toonane	A	17	13	4
toonekurg	S	6	5	1
toonitama	V	17	10	7
tooraine	S	10	5	5
toores	A	16	7	9
tootev	A	6	5	1
tootja	S	33	32	1
tootma	V	58	46	12
tootmine	S	69	66	3
toppama	V	6	4	2
toppima	V	51	7	44
tops	S	11	5	6
tore	A	79	31	48
torge	S	5	1	4
torkama	V	64	12	52
torkima	V	13	2	11
torm	A/S	53	28	25
tormakas	A	5	1	4
tormama	V	64	10	54
tormiline	A	7	6	1
tormine	A	11	4	7
torn	S	95	9	86
toru	S	82	19	63
tosin	N/S	25	14	11
toss	A/S/S	7	3	4
totaalne	A	15	11	4
totter	A	12	1	11
traagika	S	11	5	6
traagiline	A	14	8	6
traagiliselt	D	7	4	3
traat	S	24	13	11
traditsioon	S	39	31	8
traditsiooniline	A	35	30	5
tragöödia	S	24	14	10
trahv	S	40	39	1
trahvima	V	9	7	2
traks	A/S	5	1	4
traktor	S	38	6	32
traktorist	S	10	2	8
trallama	V	12	11	1
tramm	S	28	8	20
transport	S	14	10	4
trass	S	8	5	3
trauma	S	10	8	2
traumapunkt	S	13	12	1
treener	S	136	102	34
treenima	V	19	13	6
treening	S	32	27	5
trehvama	V	7	1	6
treial	S	5	2	3
treima	V	5	1	4
trellid	S	15	5	10
trepiaste	S	5	1	4
trepikoda	S	21	4	17
trepp	S	131	9	122
tribüün	S	13	8	5
triibuline	A	13	6	7
triip	S	22	4	18
trikk	S	25	19	6
triljon	N	7	5	2
trobikond	S	5	2	3
troll	S	10	6	4
tromb	S	37	34	3
troon	S	10	4	6
trots	S	14	1	13
trotslikult	D	6	1	5
trumm	S	21	14	7
trump	S	9	5	4
trust	S	8	7	1
truu	A	28	10	18
truudus	S	8	2	6
trügima	V	27	11	16
trükikoda	S	6	3	3
trükis	S	5	4	1
trükisõna	S	5	2	3
trükk	S	8	6	2
trükkima	V	39	21	18
trümm	S	5	1	4
tsehh	S	23	16	7
tsensuur	S	8	5	3
tseremoonia	S	11	7	4
tsikkel	S	7	5	2
tsirkus	S	21	16	5
tsitaat	S	11	7	4
tsiteerima	V	18	14	4
tsiviilisik	S	8	6	2
tsivilisatsioon	S	8	3	5
tsiviliseerima	V	8	5	3
tsoon	S	18	17	1
tsükkel	S	7	6	1
tšehh	S	15	3	12
tšekist	S	11	2	9
tšetšeen	S	5	2	3
tualett	S	8	3	5
tuba	S	438	48	390
tubakas	S	27	8	19
tuberkuloos	S	7	6	1
tubli	A	70	27	43
tublisti	D	31	16	15
tudeng	S	52	37	15
tugev	A	226	132	94
tugevaim	A	11	10	1
tugevalt	D	14	10	4
tugevam	A	62	36	26
tugevamini	D	14	3	11
tugevasti	D	39	20	19
tugevdama	V	19	15	4
tugevnema	V	25	17	8
tugevus	S	11	8	3
tugi	S	36	15	21
tuginema	V	20	19	1
tugitool	S	36	6	30
tuhar	S	5	2	3
tuhastama	V	8	7	1
tuhastamine	S	6	5	1
tuhat	N	279	150	129
tuhin	S	8	5	3
tuhk	S	41	16	25
tuhmilt	D	7	1	6
tuhmuma	V	14	1	13
tuhnima	V	8	1	7
tuikuma	V	10	1	9
tuim	A	27	5	22
tuisk	S	11	7	4
tuiskama	V	13	4	9
tuju	S	56	9	47
tukk	S/S/S	13	2	11
tukkuma	V	22	4	18
tulek	S	85	39	46
tulekahju	S	32	26	6
tulema	V	4095	1780	2315
tulemata	D	5	3	2
tulemine	S	13	2	11
tulemus	S	283	248	35
tulenema	V	38	28	10
tulenev	A	19	17	2
tulenevalt	D	13	12	1
tuletama	V	91	39	52
tuletõrje	S	11	10	1
tuletõrjuja	S	16	15	1
tulev	A	115	94	21
tulevane	A/S	97	55	42
tulevik	S	187	130	57
tulevikuplaan	S	6	4	2
tuli	S	363	133	230
tulija	S	39	6	33
tuline	A	30	8	22
tulipunane	A/S	5	2	3
tulirelv	S	7	5	2
tulistaja	S	5	3	2
tulistama	V	37	20	17
tulistamine	S	7	6	1
tulnu	S	5	1	4
tulnukas	S	6	1	5
tulp	S/S	10	3	7
tulu	S	102	96	6
tulusam	A	8	4	4
tulv	S	6	4	2
tulvil	D	13	5	8
tume	A	105	14	91
tumedam	A	9	1	8
tumedapäine	A	10	1	9
tumepruun	A	11	3	8
tumepunane	A	8	1	7
tumeroheline	A	6	1	5
tumesinine	A	11	2	9
tumestama	V	5	2	3
tumm	A/S/S	33	4	29
tummalt	D	9	1	8
tund	S	417	186	231
tundetu	A	8	1	7
tundev	A	12	9	3
tundlik	A	21	8	13
tundma	V	1205	335	870
tundmatu	A/S	142	85	57
tundmatus	S	5	1	4
tundmine	S	9	6	3
tunduma	V	497	160	337
tunduvalt	D	62	51	11
tung	S	9	2	7
tungima	V	83	28	55
tungiv	A	9	3	6
tungivalt	D	8	1	7
tunne	S	285	84	201
tunnel	S	14	5	9
tunnetama	V	26	18	8
tunnetus	S	7	2	5
tunnike	S	6	1	5
tunnistaja	S	51	17	34
tunnistama	V	335	190	145
tunnistamine	S	9	8	1
tunnistus	S	71	41	30
tunnus	S	26	18	8
tunnustama	V	32	27	5
tunnustavalt	D	6	1	5
tunnustus	S	24	13	11
tuntav	A	11	5	6
tuntu	S	59	34	25
tuntud	A	11	9	2
tuntum	A	14	12	2
turban	S	5	2	3
turg	S	235	216	19
turgatama	V	9	2	7
turi	S	22	6	16
turist	S	59	44	15
turmtuli	S	5	1	4
turnee	S	13	9	4
turniir	S	31	30	1
turnima	V	8	1	7
turritama	V	5	2	3
turske	A	6	2	4
tursuma	V	6	1	5
turuhind	S	18	16	2
turustama	V	9	8	1
turvafirma	S	8	7	1
turvakodu	S	6	5	1
turvaline	A	21	10	11
turvalisem	A	5	3	2
turvalisus	S	21	19	2
turvama	V	5	4	1
turvamees	S	14	7	7
tusaselt	D	8	1	7
tusk	S	13	1	12
tutt	S	30	4	26
tuttav	A/S	229	69	160
tutvuma	V	58	27	31
tutvumine	S	13	8	5
tutvus	S	26	12	14
tutvustama	V	88	63	25
tutvustamine	S	12	10	2
tuub	S	5	4	1
tuuker	S	7	5	2
tuul	S	272	59	213
tuulehoog	S	11	2	9
tuuline	A	11	5	6
tuum	S	12	6	6
tuumarelv	S	11	10	1
tuupima	V	9	2	7
tuur	S/S	11	6	5
tuvastama	V	19	18	1
tuvi	S	9	3	6
tõbi	S	13	3	10
tõde	S	140	59	81
tõdema	V	137	121	16
tõdemus	S	9	5	4
tõekspidamine	S	11	8	3
tõeline	A	158	70	88
tõeliselt	D	44	22	22
tõelus	S	14	1	13
tõemeeli	D	8	1	7
tõend	S	20	13	7
tõendama	V	20	11	9
tõene	A	5	2	3
tõenäoline	A	40	36	4
tõenäoliselt	D	138	108	30
tõenäolisem	A	13	11	2
tõenäosus	S	40	30	10
tõeotsing	S	5	1	4
tõepoolest	D	194	61	133
tõestama	V	86	58	28
tõestamine	S	8	7	1
tõesti	D	351	112	239
tõestus	S	9	5	4
tõhusalt	D	8	6	2
tõhusam	A	9	8	1
tõhustama	V	6	5	1
tõik	S	5	3	2
tõke	S	15	9	6
tõkestama	V	9	6	3
tõkkepuu	S	5	1	4
tõld	S	16	1	15
tõlge	S	40	31	9
tõlgendama	V	20	13	7
tõlgendatav	A	5	4	1
tõlgendus	S	12	8	4
tõlk	S	12	4	8
tõlkija	S	18	13	5
tõlkima	V	69	40	29
tõlkimine	S	16	9	7
tõmbama	V	367	77	290
tõmblema	V	8	2	6
tõmbuma	V	95	8	87
tõmme	S	9	4	5
tõmmu	A	21	2	19
tõotama	V	31	15	16
tõotus	S	6	1	5
tõre	A	5	1	4
tõrge	S	12	6	6
tõrges	A	5	4	1
tõrje	S	6	5	1
tõrjuma	V	63	28	35
tõrkuma	V	8	1	7
tõrvik	S	8	2	6
tõsi	S	152	45	107
tõsiasi	S	27	19	8
tõsidus	S	13	4	9
tõsimeelne	A	6	4	2
tõsine	A	133	68	65
tõsiselt	D	117	52	65
tõsisem	A	32	18	14
tõsisemalt	D	16	10	6
tõstatama	V	14	11	3
tõstma	V	420	164	256
tõstmine	S	46	41	5
tõttama	V	35	9	26
tõttu	D	301	224	77
tõtt-öelda	D	6	1	5
tõug	S	12	7	5
tõuge	S	13	5	8
tõuk	S	11	9	2
tõukama	V	50	12	38
tõus	S	109	98	11
tõusev	A	19	10	9
tõusma	V	622	223	399
tõusmine	S	9	4	5
täbar	A	7	3	4
tädi	S	98	6	92
täheldama	V	27	19	8
tähele	D	79	22	57
tähelepanek	S	16	9	7
tähelepanelik	A	16	6	10
tähelepanelikult	D	21	5	16
tähelepanu	S	200	125	75
tähelepanuväärne	A	15	7	8
tähendama	V	468	245	223
tähendus	S	66	27	39
tähendusrikas	A	5	2	3
tähistama	V	58	47	11
tähistamine	S	12	9	3
täht	S	97	37	60
tähtaeg	S	52	46	6
tähtis	A	170	87	83
tähtkuju	S	7	3	4
tähtpäev	S	11	9	2
tähtsaim	A	17	13	4
tähtsam	A	81	41	40
tähtsus	S	70	35	35
tähtsusetu	A	7	2	5
tähtsustama	V	6	5	1
täi	S	23	3	20
täidlane	A	11	4	7
täielik	A	86	55	31
täielikult	D	68	47	21
täiendama	V	37	29	8
täiendamine	S	10	9	1
täiendav	A	32	30	2
täiendus	S	20	15	5
täiesti	D	353	140	213
täis	D/A	436	128	308
täisealine	A	5	1	4
täiskasvanu	S	57	43	14
täiskasvanud	A	25	18	7
täiskuu	S	14	5	9
täitevkomitee	S	8	5	3
täitma	V	266	156	110
täitmine	S	67	60	7
täitsa	D	41	8	33
täituma	V	28	10	18
täitumine	S	7	4	3
täius	S	7	4	3
täiuslik	A	20	4	16
täiuslikum	A	8	2	6
täiustama	V	6	5	1
täna	D	475	229	246
tänama	V	100	26	74
tänane	A	143	102	41
tänapäev	S	79	50	29
tänaseks	D	57	48	9
tänaseni	D	19	16	3
tänav	S/A	479	256	223
tänavanurk	S	17	2	15
tänavu	D	225	217	8
tänavune	A	67	66	1
tänini	D	18	4	14
tänu	D/S	161	107	54
tänulik	A	27	7	20
tänusõna	S	6	3	3
täpne	A	66	47	19
täpp	S	21	9	12
täpselt	D	241	99	142
täpsem	A	33	25	8
täpsemalt	D	26	12	14
täpsemini	D	8	4	4
täpsus	S	18	10	8
täpsustama	V	46	34	12
tärkama	V	18	3	15
tääk	S	6	2	4
töine	A	7	5	2
töö	S	1106	688	418
tööaasta	S	8	4	4
tööaeg	S	23	18	5
tööalane	A	5	3	2
tööandja	S	52	49	3
tööasi	S	6	4	2
tööinimene	S	5	2	3
tööjõud	S	19	15	4
töökaaslane	S	14	6	8
töökas	A	16	8	8
töökoda	S	12	6	6
töökoht	S	77	61	16
töökohustus	S	5	4	1
töökorraldus	S	5	4	1
töökus	S	5	2	3
töölaud	S	8	2	6
tööleping	S	26	25	1
töölevõtmine	S	6	5	1
tööline	S	37	24	13
töölkäimine	S	6	5	1
töömees	S	24	11	13
tööpäev	S	23	13	10
tööraamat	S	6	1	5
tööriist	S	20	6	14
tööstus	S	49	47	2
töötaja	S	260	243	17
töötama	V	377	257	120
töötamine	S	18	17	1
töötasu	S	18	17	1
töötav	A	50	45	5
töötegemine	S	11	5	6
töötingimus	S	10	9	1
töötlema	V	19	15	4
töötlemine	S	19	18	1
töötu	A/S	50	48	2
töötuba	S	8	3	5
töövõime	S	10	8	2
tööülesanne	S	10	9	1
tüdima	V	15	4	11
tüdimus	S	6	5	1
tüdinema	V	19	5	14
tüdinult	D	6	1	5
tüdruk	S	565	54	511
tühermaa	S	5	1	4
tühi	A	311	60	251
tühine	A	48	10	38
tühistama	V	20	19	1
tühisus	S	9	1	8
tühi-tähi	S	5	1	4
tühjalt	D	9	5	4
tühjendama	V	12	2	10
tühjenema	V	7	2	5
tühjus	S	23	1	22
tükeldama	V	9	7	2
tükike	S	8	3	5
tükk	S	161	45	116
tükkima	V	19	1	18
tüli	S	50	26	24
tülikas	A	9	5	4
tülis	D	6	4	2
tülitama	V	12	1	11
tülitsema	V	5	2	3
tülli	D	13	9	4
tülpima	V	8	1	7
tünn	S	18	2	16
türgi	A	8	2	6
türklane	S	8	6	2
tüse	A	14	2	12
tütar	S	230	57	173
tütarlaps	S	49	12	37
tüvi	S	17	3	14
tüüp	S	53	32	21
tüüpiline	A	24	13	11
tüür	S	9	2	7
tüürimees	S	9	2	7
tüütama	V	20	5	15
tüütu	A	16	6	10
uba	S	19	11	8
